#{"t_start": 1693773786.888829, "env_id": "None"}
r,l,t
0.0,1,2.265533
0.0,1,2.267401
0.0,1,2.269347
0.0,1,2.271194
0.0,1,2.273024
0.0,1,2.274856
0.0,1,2.276861
0.0,1,2.27884
0.0,1,2.28066
0.0,1,2.282484
0.0,1,2.284434
0.0,1,2.28627
0.0,1,2.288117
0.0,1,2.289945
0.0,1,2.291879
0.0,1,2.293815
0.0,1,2.295724
0.0,1,2.297567
0.0,1,2.29953
0.0,1,2.301371
0.0,1,2.303197
0.0,1,2.305033
0.0,1,2.306937
0.0,1,2.308786
0.0,1,2.310702
0.0,1,2.31267
0.0,1,2.314589
0.0,1,2.316414
0.0,1,2.318263
0.0,1,2.320092
0.0,1,2.322007
0.0,1,2.323841
0.0,1,2.325706
0.0,1,2.327618
0.0,1,2.329656
0.0,1,2.331492
0.0,1,2.333339
0.0,1,2.335169
0.0,1,2.33707
0.0,1,2.338921
0.0,1,2.340758
0.0,1,2.342681
0.0,1,2.344787
0.0,1,2.346627
0.0,1,2.348463
0.0,1,2.350312
0.0,1,2.352225
0.0,1,2.354052
0.0,1,2.355934
0.0,1,2.357801
0.0,1,2.36132
0.0,1,2.363238
0.0,1,2.365059
0.0,1,2.366875
0.0,1,2.368787
0.0,1,2.370619
0.0,1,2.372463
0.0,1,2.374309
0.0,1,2.376249
0.0,1,2.378172
0.0,1,2.380146
0.0,1,2.381985
0.0,1,2.383942
0.0,1,2.385777
0.0,1,2.387619
0.0,1,2.389469
0.0,1,2.391386
0.0,1,2.393293
0.0,1,2.395265
0.0,1,2.397135
0.0,1,2.399085
0.0,1,2.400938
0.0,1,2.402783
0.0,1,2.404616
0.0,1,2.406534
0.0,1,2.40838
0.0,1,2.410295
0.0,1,2.412208
0.0,1,2.416988
0.0,1,2.418888
0.0,1,2.420771
0.0,1,2.422633
0.0,1,2.424583
0.0,1,2.426493
0.0,1,2.428454
0.0,1,2.430528
0.0,1,2.432513
0.0,1,2.434346
0.0,1,2.436157
0.0,1,2.437976
0.0,1,2.43988
0.0,1,2.441689
0.0,1,2.4441
0.0,1,2.446172
0.0,1,2.452974
0.0,1,2.454928
0.0,1,2.456867
0.0,1,2.458801
0.0,1,2.460844
0.0,1,2.462857
0.0,1,2.464796
0.0,1,2.466669
0.0,1,2.468665
0.0,1,2.470536
0.0,1,2.472387
0.0,1,2.474231
0.0,1,2.476244
0.0,1,2.478314
0.0,1,2.480176
0.0,1,2.481995
0.0,1,2.483932
